Topic,Title,Content,Date,Link,src
Sci-tech,Mercedes helps make coronavirus breathing aid as F1 joins ventilators effort,"The Mercedes F1 team has helped develop a breathing aid to keep coronavirus patients out of intensive care, with a host of other rival teams having pitched in to provide UK hospitals with thousands of extra ventilators.","Monday 30 March 2020 14:42, UK",https://news.sky.com//story/coronavirus-mercedes-helps-develop-breathing-aid-as-f1-teams-join-ventilators-effort-11965584,https://e3.365dm.com/20/03/768x432/skynews-coronavirus-uk-breathing-aid_4958101.jpg?20200330085911
Sci-tech,New MI5 chief named as spy who led Skripal poisoning response,A spy who led the response to the poisoning of Russian double agent Sergei Skripal in Salisbury has been named as the new head of MI5.,"Monday 30 March 2020 14:23, UK",https://news.sky.com//story/ken-mccallum-mi5-appoints-spy-who-led-skripal-poisoning-response-as-chief-11965774,https://e3.365dm.com/20/03/768x432/skynews-coronavirus-uk-breathing-aid_4958101.jpg?20200330085911
Sci-tech,Surge of 'smishing' scams as criminals exploit coronavirus crisis,"The banking industry has warned of a surge in so-called ""smishing"" scams as criminals try to exploit the coronavirus pandemic.","Monday 30 March 2020 14:44, UK",https://news.sky.com//story/coronavirus-banks-warn-on-wave-of-text-message-smishing-scams-11965670,https://e3.365dm.com/20/03/768x432/skynews-coronavirus-uk-breathing-aid_4958101.jpg?20200330085911
Sci-tech,Crackdown on fake coronavirus advice - from medical 'tips' to tax refunds,"The government is cracking down on fake advice spread about the coronavirus, from myths about how to treat symptoms to scam text messages warning people they face jail for leaving their homes.","Monday 30 March 2020 09:40, UK",https://news.sky.com//story/coronavirus-government-cracks-down-on-fake-advice-on-social-media-and-whatsapp-11965510,https://e3.365dm.com/20/03/768x432/skynews-coronavirus-uk-breathing-aid_4958101.jpg?20200330085911
Sci-tech,Friday night under lockdown: The streets may be silent but the fun isn't over,The weekend has arrived and the country is in lockdown.,"Saturday 28 March 2020 11:01, UK",https://news.sky.com//story/coronavirus-lockdown-the-streets-may-be-silent-but-the-fun-isnt-over-11964857,https://e3.365dm.com/20/03/768x432/skynews-coronavirus-uk-breathing-aid_4958101.jpg?20200330085911
Sci-tech,"'Data platform' will track beds, staff and ventilators","The NHS is preparing to unveil a ""data platform"" which tracks the movement of critical staff and materials, giving ministers the first ever comprehensive view of the entire health system, Sky News can reveal.","Thursday 26 March 2020 21:03, UK",https://news.sky.com//story/coronavirus-nhs-unveils-data-platform-to-track-beds-staff-and-ventilators-11964216,https://e3.365dm.com/20/03/768x432/skynews-coronavirus-uk-breathing-aid_4958101.jpg?20200330085911
Sci-tech,Mercedes helps make coronavirus breathing aid as F1 joins ventilators effort,"The Mercedes F1 team has helped develop a breathing aid to keep coronavirus patients out of intensive care, with a host of other rival teams having pitched in to provide UK hospitals with thousands of extra ventilators.","Monday 30 March 2020 14:42, UK",https://news.sky.com//story/coronavirus-mercedes-helps-develop-breathing-aid-as-f1-teams-join-ventilators-effort-11965584,https://e3.365dm.com/20/03/768x432/skynews-ken-mccallum-mi5-dg-boss_4958271.jpg?20200330121027
Sci-tech,New MI5 chief named as spy who led Skripal poisoning response,A spy who led the response to the poisoning of Russian double agent Sergei Skripal in Salisbury has been named as the new head of MI5.,"Monday 30 March 2020 14:23, UK",https://news.sky.com//story/ken-mccallum-mi5-appoints-spy-who-led-skripal-poisoning-response-as-chief-11965774,https://e3.365dm.com/20/03/768x432/skynews-ken-mccallum-mi5-dg-boss_4958271.jpg?20200330121027
Sci-tech,Surge of 'smishing' scams as criminals exploit coronavirus crisis,"The banking industry has warned of a surge in so-called ""smishing"" scams as criminals try to exploit the coronavirus pandemic.","Monday 30 March 2020 14:44, UK",https://news.sky.com//story/coronavirus-banks-warn-on-wave-of-text-message-smishing-scams-11965670,https://e3.365dm.com/20/03/768x432/skynews-ken-mccallum-mi5-dg-boss_4958271.jpg?20200330121027
Sci-tech,Crackdown on fake coronavirus advice - from medical 'tips' to tax refunds,"The government is cracking down on fake advice spread about the coronavirus, from myths about how to treat symptoms to scam text messages warning people they face jail for leaving their homes.","Monday 30 March 2020 09:40, UK",https://news.sky.com//story/coronavirus-government-cracks-down-on-fake-advice-on-social-media-and-whatsapp-11965510,https://e3.365dm.com/20/03/768x432/skynews-ken-mccallum-mi5-dg-boss_4958271.jpg?20200330121027
Sci-tech,Friday night under lockdown: The streets may be silent but the fun isn't over,The weekend has arrived and the country is in lockdown.,"Saturday 28 March 2020 11:01, UK",https://news.sky.com//story/coronavirus-lockdown-the-streets-may-be-silent-but-the-fun-isnt-over-11964857,https://e3.365dm.com/20/03/768x432/skynews-ken-mccallum-mi5-dg-boss_4958271.jpg?20200330121027
Sci-tech,"'Data platform' will track beds, staff and ventilators","The NHS is preparing to unveil a ""data platform"" which tracks the movement of critical staff and materials, giving ministers the first ever comprehensive view of the entire health system, Sky News can reveal.","Thursday 26 March 2020 21:03, UK",https://news.sky.com//story/coronavirus-nhs-unveils-data-platform-to-track-beds-staff-and-ventilators-11964216,https://e3.365dm.com/20/03/768x432/skynews-ken-mccallum-mi5-dg-boss_4958271.jpg?20200330121027
Sci-tech,Mercedes helps make coronavirus breathing aid as F1 joins ventilators effort,"The Mercedes F1 team has helped develop a breathing aid to keep coronavirus patients out of intensive care, with a host of other rival teams having pitched in to provide UK hospitals with thousands of extra ventilators.","Monday 30 March 2020 14:42, UK",https://news.sky.com//story/coronavirus-mercedes-helps-develop-breathing-aid-as-f1-teams-join-ventilators-effort-11965584,https://e3.365dm.com/20/03/768x432/skynews-smishing-covid-19-scam_4958263.jpg?20200330115811
Sci-tech,New MI5 chief named as spy who led Skripal poisoning response,A spy who led the response to the poisoning of Russian double agent Sergei Skripal in Salisbury has been named as the new head of MI5.,"Monday 30 March 2020 14:23, UK",https://news.sky.com//story/ken-mccallum-mi5-appoints-spy-who-led-skripal-poisoning-response-as-chief-11965774,https://e3.365dm.com/20/03/768x432/skynews-smishing-covid-19-scam_4958263.jpg?20200330115811
Sci-tech,Surge of 'smishing' scams as criminals exploit coronavirus crisis,"The banking industry has warned of a surge in so-called ""smishing"" scams as criminals try to exploit the coronavirus pandemic.","Monday 30 March 2020 14:44, UK",https://news.sky.com//story/coronavirus-banks-warn-on-wave-of-text-message-smishing-scams-11965670,https://e3.365dm.com/20/03/768x432/skynews-smishing-covid-19-scam_4958263.jpg?20200330115811
Sci-tech,Crackdown on fake coronavirus advice - from medical 'tips' to tax refunds,"The government is cracking down on fake advice spread about the coronavirus, from myths about how to treat symptoms to scam text messages warning people they face jail for leaving their homes.","Monday 30 March 2020 09:40, UK",https://news.sky.com//story/coronavirus-government-cracks-down-on-fake-advice-on-social-media-and-whatsapp-11965510,https://e3.365dm.com/20/03/768x432/skynews-smishing-covid-19-scam_4958263.jpg?20200330115811
Sci-tech,Friday night under lockdown: The streets may be silent but the fun isn't over,The weekend has arrived and the country is in lockdown.,"Saturday 28 March 2020 11:01, UK",https://news.sky.com//story/coronavirus-lockdown-the-streets-may-be-silent-but-the-fun-isnt-over-11964857,https://e3.365dm.com/20/03/768x432/skynews-smishing-covid-19-scam_4958263.jpg?20200330115811
Sci-tech,"'Data platform' will track beds, staff and ventilators","The NHS is preparing to unveil a ""data platform"" which tracks the movement of critical staff and materials, giving ministers the first ever comprehensive view of the entire health system, Sky News can reveal.","Thursday 26 March 2020 21:03, UK",https://news.sky.com//story/coronavirus-nhs-unveils-data-platform-to-track-beds-staff-and-ventilators-11964216,https://e3.365dm.com/20/03/768x432/skynews-smishing-covid-19-scam_4958263.jpg?20200330115811
Sci-tech,Mercedes helps make coronavirus breathing aid as F1 joins ventilators effort,"The Mercedes F1 team has helped develop a breathing aid to keep coronavirus patients out of intensive care, with a host of other rival teams having pitched in to provide UK hospitals with thousands of extra ventilators.","Monday 30 March 2020 14:42, UK",https://news.sky.com//story/coronavirus-mercedes-helps-develop-breathing-aid-as-f1-teams-join-ventilators-effort-11965584,https://e3.365dm.com/20/03/768x432/skynews-coronavirus-scam_4958024.jpg?20200330064416
Sci-tech,New MI5 chief named as spy who led Skripal poisoning response,A spy who led the response to the poisoning of Russian double agent Sergei Skripal in Salisbury has been named as the new head of MI5.,"Monday 30 March 2020 14:23, UK",https://news.sky.com//story/ken-mccallum-mi5-appoints-spy-who-led-skripal-poisoning-response-as-chief-11965774,https://e3.365dm.com/20/03/768x432/skynews-coronavirus-scam_4958024.jpg?20200330064416
Sci-tech,Surge of 'smishing' scams as criminals exploit coronavirus crisis,"The banking industry has warned of a surge in so-called ""smishing"" scams as criminals try to exploit the coronavirus pandemic.","Monday 30 March 2020 14:44, UK",https://news.sky.com//story/coronavirus-banks-warn-on-wave-of-text-message-smishing-scams-11965670,https://e3.365dm.com/20/03/768x432/skynews-coronavirus-scam_4958024.jpg?20200330064416
Sci-tech,Crackdown on fake coronavirus advice - from medical 'tips' to tax refunds,"The government is cracking down on fake advice spread about the coronavirus, from myths about how to treat symptoms to scam text messages warning people they face jail for leaving their homes.","Monday 30 March 2020 09:40, UK",https://news.sky.com//story/coronavirus-government-cracks-down-on-fake-advice-on-social-media-and-whatsapp-11965510,https://e3.365dm.com/20/03/768x432/skynews-coronavirus-scam_4958024.jpg?20200330064416
Sci-tech,Friday night under lockdown: The streets may be silent but the fun isn't over,The weekend has arrived and the country is in lockdown.,"Saturday 28 March 2020 11:01, UK",https://news.sky.com//story/coronavirus-lockdown-the-streets-may-be-silent-but-the-fun-isnt-over-11964857,https://e3.365dm.com/20/03/768x432/skynews-coronavirus-scam_4958024.jpg?20200330064416
Sci-tech,"'Data platform' will track beds, staff and ventilators","The NHS is preparing to unveil a ""data platform"" which tracks the movement of critical staff and materials, giving ministers the first ever comprehensive view of the entire health system, Sky News can reveal.","Thursday 26 March 2020 21:03, UK",https://news.sky.com//story/coronavirus-nhs-unveils-data-platform-to-track-beds-staff-and-ventilators-11964216,https://e3.365dm.com/20/03/768x432/skynews-coronavirus-scam_4958024.jpg?20200330064416
Sci-tech,Mercedes helps make coronavirus breathing aid as F1 joins ventilators effort,"The Mercedes F1 team has helped develop a breathing aid to keep coronavirus patients out of intensive care, with a host of other rival teams having pitched in to provide UK hospitals with thousands of extra ventilators.","Monday 30 March 2020 14:42, UK",https://news.sky.com//story/coronavirus-mercedes-helps-develop-breathing-aid-as-f1-teams-join-ventilators-effort-11965584,https://e3.365dm.com/20/03/768x432/skynews-virtual-and-online_4957023.jpg?20200328022944
Sci-tech,New MI5 chief named as spy who led Skripal poisoning response,A spy who led the response to the poisoning of Russian double agent Sergei Skripal in Salisbury has been named as the new head of MI5.,"Monday 30 March 2020 14:23, UK",https://news.sky.com//story/ken-mccallum-mi5-appoints-spy-who-led-skripal-poisoning-response-as-chief-11965774,https://e3.365dm.com/20/03/768x432/skynews-virtual-and-online_4957023.jpg?20200328022944
Sci-tech,Surge of 'smishing' scams as criminals exploit coronavirus crisis,"The banking industry has warned of a surge in so-called ""smishing"" scams as criminals try to exploit the coronavirus pandemic.","Monday 30 March 2020 14:44, UK",https://news.sky.com//story/coronavirus-banks-warn-on-wave-of-text-message-smishing-scams-11965670,https://e3.365dm.com/20/03/768x432/skynews-virtual-and-online_4957023.jpg?20200328022944
Sci-tech,Crackdown on fake coronavirus advice - from medical 'tips' to tax refunds,"The government is cracking down on fake advice spread about the coronavirus, from myths about how to treat symptoms to scam text messages warning people they face jail for leaving their homes.","Monday 30 March 2020 09:40, UK",https://news.sky.com//story/coronavirus-government-cracks-down-on-fake-advice-on-social-media-and-whatsapp-11965510,https://e3.365dm.com/20/03/768x432/skynews-virtual-and-online_4957023.jpg?20200328022944
Sci-tech,Friday night under lockdown: The streets may be silent but the fun isn't over,The weekend has arrived and the country is in lockdown.,"Saturday 28 March 2020 11:01, UK",https://news.sky.com//story/coronavirus-lockdown-the-streets-may-be-silent-but-the-fun-isnt-over-11964857,https://e3.365dm.com/20/03/768x432/skynews-virtual-and-online_4957023.jpg?20200328022944
Sci-tech,"'Data platform' will track beds, staff and ventilators","The NHS is preparing to unveil a ""data platform"" which tracks the movement of critical staff and materials, giving ministers the first ever comprehensive view of the entire health system, Sky News can reveal.","Thursday 26 March 2020 21:03, UK",https://news.sky.com//story/coronavirus-nhs-unveils-data-platform-to-track-beds-staff-and-ventilators-11964216,https://e3.365dm.com/20/03/768x432/skynews-virtual-and-online_4957023.jpg?20200328022944
Sci-tech,Mercedes helps make coronavirus breathing aid as F1 joins ventilators effort,"The Mercedes F1 team has helped develop a breathing aid to keep coronavirus patients out of intensive care, with a host of other rival teams having pitched in to provide UK hospitals with thousands of extra ventilators.","Monday 30 March 2020 14:42, UK",https://news.sky.com//story/coronavirus-mercedes-helps-develop-breathing-aid-as-f1-teams-join-ventilators-effort-11965584,https://e3.365dm.com/20/03/768x432/skynews-coronavirus-covid-19_4956191.jpg?20200326195613
Sci-tech,New MI5 chief named as spy who led Skripal poisoning response,A spy who led the response to the poisoning of Russian double agent Sergei Skripal in Salisbury has been named as the new head of MI5.,"Monday 30 March 2020 14:23, UK",https://news.sky.com//story/ken-mccallum-mi5-appoints-spy-who-led-skripal-poisoning-response-as-chief-11965774,https://e3.365dm.com/20/03/768x432/skynews-coronavirus-covid-19_4956191.jpg?20200326195613
Sci-tech,Surge of 'smishing' scams as criminals exploit coronavirus crisis,"The banking industry has warned of a surge in so-called ""smishing"" scams as criminals try to exploit the coronavirus pandemic.","Monday 30 March 2020 14:44, UK",https://news.sky.com//story/coronavirus-banks-warn-on-wave-of-text-message-smishing-scams-11965670,https://e3.365dm.com/20/03/768x432/skynews-coronavirus-covid-19_4956191.jpg?20200326195613
Sci-tech,Crackdown on fake coronavirus advice - from medical 'tips' to tax refunds,"The government is cracking down on fake advice spread about the coronavirus, from myths about how to treat symptoms to scam text messages warning people they face jail for leaving their homes.","Monday 30 March 2020 09:40, UK",https://news.sky.com//story/coronavirus-government-cracks-down-on-fake-advice-on-social-media-and-whatsapp-11965510,https://e3.365dm.com/20/03/768x432/skynews-coronavirus-covid-19_4956191.jpg?20200326195613
Sci-tech,Friday night under lockdown: The streets may be silent but the fun isn't over,The weekend has arrived and the country is in lockdown.,"Saturday 28 March 2020 11:01, UK",https://news.sky.com//story/coronavirus-lockdown-the-streets-may-be-silent-but-the-fun-isnt-over-11964857,https://e3.365dm.com/20/03/768x432/skynews-coronavirus-covid-19_4956191.jpg?20200326195613
Sci-tech,"'Data platform' will track beds, staff and ventilators","The NHS is preparing to unveil a ""data platform"" which tracks the movement of critical staff and materials, giving ministers the first ever comprehensive view of the entire health system, Sky News can reveal.","Thursday 26 March 2020 21:03, UK",https://news.sky.com//story/coronavirus-nhs-unveils-data-platform-to-track-beds-staff-and-ventilators-11964216,https://e3.365dm.com/20/03/768x432/skynews-coronavirus-covid-19_4956191.jpg?20200326195613
Sci-tech,Capturing CO2: How to reduce carbon dioxide emissions from the cement industry,The cement industry is responsible for between 6 to 8 per cent of global carbon dioxide emissions.,2020-03-16,https://www.euronews.com//2020/03/16/capturing-co2-how-to-reduce-carbon-dioxide-emissions-from-the-cement-industry,https://static.euronews.com/articles/stories/04/55/13/14/1280x720_cmsv2_57756da0-8327-512c-bdbe-77287c666e73-4551314.jpg
Sci-tech,How Mars might hold the key to better understanding climate change,It’s been a busy few years for the United Arab Emirates Space programme.,2020-03-10,https://www.euronews.com//2020/03/10/how-mars-might-hold-the-key-to-better-understanding-climate-change,https://static.euronews.com/articles/stories/04/54/81/04/1280x720_cmsv2_1d5a3ef5-e3aa-5f91-bf91-2c72d09e0aeb-4548104.jpg
Sci-tech,The new coronavirus is hard on older people — and scientists aren't sure why,"Older adults appear to be more severely at risk from the new coronavirus, while young children seem to be largely spared — and understanding why could be crucial to treating people with the illness it causes, according to scientists.",2020-03-10,https://www.euronews.com//2020/03/10/coronavirus-hard-older-people-scientists-aren-t-sure-why-n1153701,https://static.euronews.com/articles/4558132/1280x720_nbc-200309-kirkland-washington-coronavirus-cs-1241p_b4e9051f97bd28243f14e0c1ee70804e.jpg
Sci-tech,Coronavirus mask pushers pump wares on social media,"Coronavirus-related products are still for sale across most major social media platforms, including through person-to-person messaging systems, despite some efforts to crack down on black- and grey-market activity around the outbreak.",2020-03-09,https://www.euronews.com//2020/03/09/coronavirus-mask-mania-spurs-internet-s-grey-markets-action-n1153426,https://static.euronews.com/articles/4557544/1280x720_nbc-200309-stock-masks-black-grey-online-market-se-145p_3a4a22f123f9af1e70e1848c4d2c6d90.jpg
Sci-tech,Stock-trading app Robinhood suffers third outage amid market turbulence,"The stock-trading app Robinhood suffered and outage on Monday for the third time in a week, frustrating users of the zero-fee tech startup who tried to place trades during the day's market plunge.",2020-03-09,https://www.euronews.com//2020/03/09/stock-trading-app-robinhood-suffers-third-outage-amid-market-turbulence-n1153531,https://static.euronews.com/articles/4557546/1280x720_nbc-200309-robinhood-app-ew-234p_1135a4b4972e084184ddfe7e727c4759.jpg
Sci-tech,How new rules at Facebook and Twitter led to a warning beneath the president's retweet,"A video of Joe Biden that was deceptively edited to make it appear as if he endorsed President Donald Trump for re-election triggered warning labels from Twitter and Facebook, one of the first instances in which new policies meant to curb misinformation have been applied to the Trump campaign.",2020-03-09,https://www.euronews.com//2020/03/09/facebook-twitter-put-warning-label-edited-video-biden-n1153506,https://static.euronews.com/articles/4557494/1280x720_nbc-200309-joe-biden-kansas-city-ew-1248p_c910e8772a5b9e5af52b9f432879d7b8.jpg
Sci-tech,How EU funding is changing the face of Latvian innovation,"At the University of Latvia in Riga, the face of innovation is drastically changing.",2020-03-09,https://www.euronews.com//2020/03/09/eu-funding-dramatically-changing-innovation-in-latvia,https://static.euronews.com/articles/stories/04/50/82/80/1280x720_cmsv2_92efaa0e-e234-5ca2-bf77-f7874dfe4553-4508280.jpg
Sci-tech,Twitter strikes deal with activist investor to keep Jack Dorsey as CEO,"Twitter has struck a deal to keep Jack Dorsey as CEO, after an activist hedge fund recently agitated for leadership change at the company.",2020-03-09,https://www.euronews.com//2020/03/09/twitter-strikes-deal-activist-investor-keep-jack-dorsey-ceo-n1153066,https://static.euronews.com/articles/4556866/1280x720_nbc-190423-jack-dorsey-ew-500p_052bb6f8976904166ca38d65e2745e5b.jpg
Sci-tech,SXSW conference canceled amid heightened coronavirus concerns,"The mayor of Austin, Texas announced on Friday that the city had declared a disaster due to the coronavirus outbreak, a move that resulted in the cancellation of the South by Southwest conference.",2020-03-06,https://www.euronews.com//2020/03/06/sxsw-conference-canceled-amid-heightened-coronavirus-concerns-n1151911,https://static.euronews.com/articles/4552146/1280x720_nbc-200306-sxsw-south-by-southwest-sign-ew-508p_bbc02d2743c4671efdaf939c49e52ece.jpg
Sci-tech,"In Facebook groups, coronavirus misinformation thrives despite broader crackdown",Facebook's efforts to limit the spread of coronavirus misinformation are running into a problem: groups.,2020-03-06,https://www.euronews.com//2020/03/06/facebook-groups-coronavirus-misinformation-thrives-despite-broader-crackdown-n1151466,https://static.euronews.com/articles/4551778/1280x720_nbc-200305-coronavirus-mask-new-york-subway-cs-1214p_58764a6ddeb77231fa2efeab4f37a31e.jpg
Sci-tech,"NASA's new Mars rover gets a name — Percy, for short",First came Sojourner. Then Spirit and Opportunity. Curiosity followed. And now there's Perseverance.,2020-03-05,https://www.euronews.com//2020/03/05/nasa-s-new-mars-rover-gets-name-percy-short-n1150961,https://static.euronews.com/articles/4549756/1280x720_nbc-203305-nasa-rover-se-246p_4996c3478883e6d5998e79bd4c92fa8b.jpg
Sci-tech,Disappearing beaches: Climate change could wipe out half of the world's sandy shorelines,"Half of the world's beaches could disappear by the end of this century as a result of climate change-induced coastal erosion and rising seas, according to a study published Monday in thejournal Nature Climate Change.",2020-03-05,https://www.euronews.com//2020/03/05/disappearing-beaches-climate-change-could-wipe-out-half-world-s-n1150841,https://static.euronews.com/articles/4549752/1280x720_nbc-200303-bondi-beach-al-1403_164685f9e65744e19c7da042cc4b9bd5.jpg
Sci-tech,'San Francisco is full': Tech backlash reaches new heights with skyscraper battle,SAN FRANCISCO — John Elberling has a drastic plan to address the city's housing crisis: no more new skyscrapers.,2020-03-05,https://www.euronews.com//2020/03/05/san-francisco-full-tech-backlash-reaches-new-heights-skyscraper-battle-n1150726,https://static.euronews.com/articles/4549554/1280x720_nbc-200303-salesforce-tower-san-francisco-ew-517p_cde3316bb75382f30d6494219891ae42.jpg
Sci-tech,"Try not to touch your face. Also, try not to think about touching your face.",President Donald Trump confessed Wednesday that for the last few weeks he's been missing something: touching his face.,2020-03-05,https://www.euronews.com//2020/03/05/try-not-touch-your-face-also-try-not-think-about-n1150161,https://static.euronews.com/articles/4547690/1280x720_nbc-200303-face-touching-anxiety-coronavirus-main-kh_7bb4763d479557cf06ff69899b866525.jpg
Sci-tech,2020: A critical year for climate and biodiversity,More than 90% of European citizens say protecting the environment is important to them and more than 80% believe it should be protected by legislation.,2020-03-04,https://www.euronews.com//2020/03/04/2020-a-critical-year-for-climate-and-biodiversity,https://static.euronews.com/articles/stories/04/54/50/06/602x338_cmsv2_073db64a-afc6-558e-aa79-8f444e2b6f26-4545006.jpg
Sci-tech,Barry Diller weighs in on the Hollywood streaming wars,"Barry Diller, the Hollywood mogul who once employed Jeffrey Katzenberg as his assistant, says he is neither bearish nor bullish about Quibi, the new short-form streaming service Katzenberg plans to launch next month.",2020-03-04,https://www.euronews.com//2020/03/04/barry-diller-weighs-hollywood-streaming-wars-n1149316,https://static.euronews.com/articles/4545146/1280x720_nbc-200303-barry-diller-ew-1206p_d1ac861f6eea9583148f52de8957e044.jpg
Sci-tech,'Gardens and graveyards' of coral discovered in hidden canyons off Australia's coast,"The South Australian coast is surrounded by a labyrinth of underwater canyons, many of them still unexplored. Last week, an international team of researchers (and their underwater robot companion) completed a survey of three such canyons, uncovering a hidden world of both thriving coral gardens and ash-white coral graveyards.",2020-03-03,https://www.euronews.com//2020/03/03/gardens-graveyards-coral-discovered-hidden-canyons-australia-s-coast-n1148011,https://static.euronews.com/articles/4542916/1280x720_nbc-200303-schmidt-ocean-institute-subastian-1-ew-1154a_1e6bb26347dd98b492050615fabb50f8.jpg
Sci-tech,Bloomberg's novel meme strategy is drawing the wrong kind of buzz,"Adrienne Elrod, a Democratic strategist who worked on Hillary Clinton's 2016 campaign, was certain the Mike Bloomberg campaign account had been hacked.",2020-03-03,https://www.euronews.com//2020/03/03/bloomberg-s-novel-meme-strategy-drawing-wrong-kind-buzz-n1146626,https://static.euronews.com/articles/4542846/1280x720_nbc-200302-i-like-mike-sign-ac-654p_1af160c2476288643e62e756c80c5ed1.jpg
